"Group","f00_t01_a","f01_t00_a","f01_t11_a","f11_t01_a","f00_t01_b","f01_t00_b","f01_t11_b","f11_t01_b","tn_00_a","tn_01_a","tn_11_a","tn_00_b","tn_01_b","tn_11_b","ef_00_a","ef_01_a","ef_11_a","ef_00_b","ef_01_b","ef_11_b","hidden_incl","turn_differ","trans_differ","both_differ","ntip"
"Onagraceae",0.0142713454604698,0.0225312653586105,4.15737165875995e-09,0.00414827821856049,1.37616978169082,0.927103899830308,79.4950674454183,100,0.288232697889352,0.288232697889352,0.288232697889352,6.36854840292005,6.36854840292005,6.36854840292005,0.480720825733138,0.480720825733138,0.480720825733138,0.991327967988101,0.991327967988101,0.991327967988101,1.001,1.001,1.001,1.001,254
"Paepalanthus",2.07875907735146e-09,1.01480605252512,3.28595859850682,8.76068409829678,0.915961605386293,0.276217026199049,2.1265545986756e-09,1.09804370587752,0.787700145583286,2.5743667710586,1.35540803602858,0.787700145583286,2.5743667710586,1.35540803602858,3,2.18555422531038e-09,1.12339573487134,0.112288598234889,3,0.0639438525271719,0.999,0.49,0.695,0.284,140
"Poaceae",0.027907023874021,4.00804225314192e-09,0.0540963478478144,0.0409799207791044,0.959864146963848,0.458038472026894,70.7710053190081,100,0.506255540188068,1.24920893395759e-06,0.492434082354583,5.49230255833555,1.38899113209582,2.70738009388116,0.348441159110293,0.348441159110293,0.348441159110293,0.834590334612375,0.834590334612375,0.834590334612375,1,1,1,1,2632
"Primulaceae",32.5007978999669,99.9927198364958,0.247751358015235,0.253445483135464,32.5007978999669,99.9927198364958,0.247751358015235,0.253445483135464,2.00306966587575,2.00306966587575,2.00306966587575,0.202811983024493,0.202811983024493,0.202811983024493,0.691873942756246,0.691873942756246,0.691873942756246,0.210759835985743,0.210759835985743,0.210759835985743,0.999,0.97,0.421,0.416,192
"Quercus",0.0193618451749629,0.0198715195095362,0.0751076004346511,0.0639874013215907,0.0193618451749629,0.0198715195095362,0.0751076004346511,0.0639874013215907,0.136731801351286,0.136731801351286,0.136731801351286,0.027677723558009,0.027677723558009,0.027677723558009,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.916,0.866,0.037,0.028,139
"Restionaceae",0.171318001059258,0.322074701745826,0.0247615145207304,2.06115362243856e-09,0.171318001059258,0.322074701745826,0.0247615145207304,2.06115362243856e-09,0.0296416028983818,0.0529756584572506,0.114570203282392,0.0296416028983818,0.0529756584572506,0.114570203282392,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.362,0.066,0.021,0.011,78
"Ruellia",0.214087166782561,0.0768643902079876,8.68297800648029,14.7721907658073,2.06282158610152e-09,1.57367718014121,0.0867751969356785,2.06115362243856e-09,0.429950739012033,1.96180035210414,0.278208143500167,0.429950739012033,1.96180035210414,0.278208143500167,0.549484439748967,0.549484439748967,0.549484439748967,2.09757661384294e-09,2.09757661384294e-09,2.09757661384294e-09,0.992,0.554,0.985,0.551,120
"Salvia",2.13600116925064,100,2.64458764670261,0.0179212458700436,0.167054092751064,3.12515431212225e-09,2.11708552855354e-09,0.264750977549114,0.121068835905594,0.121068835905594,0.121068835905594,0.536952107568026,0.536952107568026,0.536952107568026,0.0639961173702635,1.33516456331225,2.74643156148865e-09,0.0639961173702635,1.33516456331225,2.74643156148865e-09,0.998,0.994,0.972,0.971,330
"Solanaceae",0.236289540952465,0.333957975579776,0.222561331117075,0.289388855180087,0.236289540952465,0.333957975579776,0.222561331117075,0.289388855180087,0.3135066337881,0.3135066337881,0.3135066337881,0.990611936068503,0.990611936068503,0.990611936068503,0.177083735606452,0.565533526355163,0.102987821907887,0.177083735606452,0.565533526355163,0.102987821907887,1.001,0.95,0,0,874
"Spermacoceae",19.3436540198218,100,0.042043676932588,0.00175870575943013,0.0125171851436126,0.0288817576075885,0.187883690555215,0.36914558510228,0.996611009574337,1.11245237118771,0.537382633501786,0.996611009574337,1.11245237118771,0.537382633501786,0.749316097968893,0.749316097968893,0.749316097968893,0.749316097968893,0.749316097968893,0.749316097968893,0.923,0.274,0.863,0.262,151
"Thelypodieae",0.0992730911412765,0.129834879946453,0.43076819675135,0.133874082452295,0.0992730911412765,0.129834879946453,0.43076819675135,0.133874082452295,0.338422567091476,0.338422567091476,0.338422567091476,0.338422567091476,0.338422567091476,0.338422567091476,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.507,0.215,0.073,0.044,83
"Vanguerieae",0.637406213872445,0.263453641386195,0.0666227608456349,1.03231266582311,0.637406213872445,0.263453641386195,0.0666227608456349,1.03231266582311,2.51270978255928,2.51270978255928,2.51270978255928,2.51270978255928,2.51270978255928,2.51270978255928,0.584912887095574,3,0.343174384593382,0.584912887095574,3,0.343174384593382,0.471,0.253,0.098,0.088,134
"Velloziaceae",0.604903365564652,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.0143261887230133,0.197626758028416,2.06115362243856e-09,0.0359721687201536,0.0359721687201536,0.0359721687201536,0.307951823002104,0.307951823002104,0.307951823002104,0.528589661512071,2.06115362243856e-09,1.34326025037675,0.528589661512071,2.06115362243856e-09,1.34326025037675,0.977,0.775,0.558,0.535,94
"Viburnum",0.0135675363217108,0.0662749472541945,0.0202778046730837,2.06115362243856e-09,0.0135675363217108,0.0662749472541945,0.0202778046730837,2.06115362243856e-09,0.256466864020289,0.256466864020289,0.256466864020289,0.0512950316469844,0.0512950316469844,0.0512950316469844,0.486713782407298,1.22498216203934,1.18899845825683,0.486713782407298,1.22498216203934,1.18899845825683,0.941,0.653,0.122,0.053,126
"Vrieseinae",0.170956961159192,1.79004009226931,9.6063513779872,12.0818377396553,0.170956961159192,1.79004009226931,9.6063513779872,12.0818377396553,1.01497596123971,1.01497596123971,1.01497596123971,1.01497596123971,1.01497596123971,1.01497596123971,0.557056825789698,0.557056825789698,0.557056825789698,2.07704960228896e-09,2.07704960228896e-09,2.07704960228896e-09,0.721,0.277,0.067,0.046,56
