"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Angelica laxifoliata Diels",0,1,12,0,0,11,0,0,0,0,0,0,0,0
"Angelica lignescens J.-P.Reduron & P.Danton",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Angelica likiangensis H.Wolff",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Angelica longicaudata C.Q.Yuan & R.H.Shan",0,1,1,0,0,1,1,0,0,0,0,0,0,0
"Angelica maowenensis C.C.Yuan & Shan Renhwa",0,0,0,0,0,8,3,0,0,0,0,0,0,0
"Angelica megaphylla Diels",0,6,12,0,0,0,0,0,0,0,0,0,0,0
"Angelica morii Hayata",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica nitida H.Wolff",0,0,0,0,0,2,5,0,0,0,0,0,0,0
"Angelica pinnata S.Watson",0,0,0,0,0,36,0,0,0,0,16,0,0,0
"Angelica polymorpha Maxim.",0,0,80,0,0,4,0,0,0,0,0,0,0,0
"Angelica pseudoselinum H.Boissieu",0,0,1,0,0,9,2,0,0,0,0,0,0,0
"Angelica pubescens var. matsumurae (Y.Yabe) Ohwi",0,0,5,0,0,1,0,0,0,0,0,0,0,0
"Angelica pubescens Maxim.",0,0,45,0,0,3,0,0,0,0,0,0,0,0
"Angelica pubescens var. pubescens",0,0,25,0,0,3,0,0,0,0,0,0,0,0
"Angelica roseana L.F.Hend.",0,0,0,0,0,8,0,0,0,0,1,0,0,0
"Angelica sinensis (Oliv.) Diels",0,6,10,0,0,9,4,0,0,0,0,1,0,0
"Angelica songpanensis Shan Renhwa & Pu Fating",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Angelica sylvestris L.",0,0,11,0,0,4,0,5,0,0,0,0,2,2
"Angelica sylvestris subsp. sylvestris",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Angelica ursina Regel",0,0,18,0,0,6,0,0,0,0,0,0,3,0
"Anisosciadium isosciadium Bornm.",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Anisosciadium orientale DC.",0,0,2,3,0,0,0,0,0,0,1,0,0,0
"Anisotome aromatica Hook.f.",0,0,13,14,0,0,17,0,0,0,0,0,0,0
"Anisotome aromatica var. flabellifolia (Simpson) Allan",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Anisotome aromatica var. major Allan",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anisotome aromatica var. obtusa Allan",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Anisotome flexuosa J.W.Dawson",0,0,5,7,0,0,11,0,0,0,0,0,0,0
"Anisotome imbricata Cockayne",0,0,3,1,0,0,7,0,0,0,0,0,0,0
"Anisotome lyallii Hook.f.",0,0,4,1,0,0,0,0,0,0,0,0,0,0
"Anisotome procumbens (F.Muell.) C.J.Webb",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Anthriscus caucalis M.Bieb.",0,0,128,12,0,39,0,193,0,0,8,0,1,0
"Anthriscus lamprocarpa Boiss.",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Anthriscus nitidus (Wahlenb.) Hazsl.",0,0,29,0,0,14,0,0,0,0,0,0,0,0
"Anthriscus schmalhausenii Koso-Pol.",0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Anthriscus sylvestris (L.) Hoffm.",0,1,14,0,0,1,0,3,0,0,0,0,2,2
"Anthriscus sylvestris subsp. sylvestris",0,0,5,0,0,2,0,0,0,0,0,0,1,1
"Anthriscus sylvestris subsp. fumarioides (Waldst. & Kit.) K.Spalik",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Aphanopleura capillifolia Lipsky",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Apium chilense Hook. & Arn.",0,0,3,0,0,0,0,3,0,0,0,0,0,0
"Apium commersonii DC.",0,0,0,10,0,0,0,0,0,8,0,0,0,0
"Apium graveolens var. graveolens",0,0,1,0,0,0,0,2,0,0,2,0,0,0
"Apium graveolens var. dulce (P.Mill.) Poir.",0,0,0,1,0,1,0,1,0,0,0,0,0,0
"Apium insulare P.S.Short",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Apium panul Reiche",0,0,5,0,0,0,3,7,0,0,0,0,0,0
"Apium prostratum subsp. prostratum",0,0,37,0,0,0,0,43,0,0,1,0,0,0
"Apium prostratum var. prostratum",0,0,64,1,0,0,0,47,0,0,0,0,0,0
"Apium prostratum var. filiforme (A.Rich.) Kirk",0,0,53,1,0,0,0,24,0,0,6,0,0,0
"Apium prostratum Labill.",0,0,31,1,0,0,0,54,0,0,2,0,0,0
"Apium prostratum subsp. denticulatum P.S.Short",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Apium sellowianum H.Wolff",0,11,0,3,0,0,1,0,0,7,0,2,0,0
"Arafoe aromatica Pimenov & T.V.Lavrova",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Arcuatopterus thalictrioideus M.I.Sheh & Shan Renhwa",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Arracacia bracteata J.M.Coult. & Rose",0,6,0,0,4,0,0,0,0,0,0,0,0,0
"Arracacia brandegeei J.M.Coult. & Rose",2,0,0,0,1,0,0,0,0,0,10,0,0,0
"Arracacia nelsonii J.M.Coult. & Rose",0,6,0,0,13,0,0,0,0,0,1,0,0,0
"Arracacia tolucensis Hemsl.",1,0,0,0,26,0,0,0,0,0,11,0,0,0
"Arracacia tolucensis var. multifida (S.Watson) Mathias & Constance",0,0,0,0,6,0,0,0,0,0,5,0,0,0
"Artedia squamata L.",0,0,0,0,0,0,0,7,0,0,1,0,0,0
"Astomaea seselifolia (DC.) Rauschert",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Astrodaucus orientalis Drude",0,0,27,11,0,2,0,2,0,0,2,0,0,0
"Astrodaucus orientalis var. eriocarpus (Boiss.) Woron.",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Athamanta cretensis L.",0,0,3,0,0,31,0,0,0,0,0,0,0,0
"Athamanta turbith subsp. haynaldii (Borbás & Uechtr.) Tutin",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Atrema americanum DC.",0,0,3,26,0,0,0,0,0,1,0,0,0,0
"Aulacospermum anomalum Ledeb.",0,0,0,4,0,1,10,0,0,0,0,0,0,0
"Aulacospermum simplex Rupr.",0,0,0,7,0,1,11,0,0,0,3,0,0,0
"Azilia eryngioides (Pau) Hedge & Lamond",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Berula erecta (Huds.) Coville",7,2,79,37,26,45,0,59,0,0,75,0,2,0
"Berula erecta subsp. erecta",0,0,1,11,0,1,0,3,0,0,6,0,0,0
